current_date,current_time,departure_time,arrival_time,airline,duration,stops,price,dep_airport,arr_airport,operated_by,other
2019-7-9,15:54,8:30am,8:40pm,Norwegian Air UK,7h 0m,(Nonstop),$942,Liberty Intl. (EWR),Heathrow (LHR),United 934,Boeing 767 | Breakfast
2019-7-9,15:54,12:45pm,12:45am,Norwegian Air UK,7h 0m,(Nonstop),$988,John F. Kennedy Intl. (JFK),Gatwick (LGW),Norwegian Air UK 7014 operated by Evelop Airlines,Airbus A330-300 | Food and beverage for purchase
2019-7-9,15:54,10:10pm,10:10am,Norwegian Air UK,7h 0m,(Nonstop),$988,John F. Kennedy Intl. (JFK),Gatwick (LGW),Norwegian Air UK 7018,BOEING 787-9 | Food and beverage for purchase
2019-7-9,15:54,11:00pm,11:00am,United,7h 10m,(Nonstop),"$1,000",John F. Kennedy Intl. (JFK),Gatwick (LGW),Norwegian Air UK 7016,BOEING 787-9 | Food and beverage for purchase
2019-7-9,15:54,8:30am,8:40pm,United,7h 10m,(Nonstop),"$1,000",Liberty Intl. (EWR),Heathrow (LHR),United 934,Boeing 767 | Breakfast
2019-7-9,15:54,10:00pm,10:10am,United,7h 20m,(Nonstop),"$1,000",Liberty Intl. (EWR),Heathrow (LHR),United 940,Boeing 767-300 | Dinner
2019-7-9,15:54,6:00pm,6:20am,United,7h 20m,(Nonstop),"$1,000",Liberty Intl. (EWR),Heathrow (LHR),United 110,Boeing 767-300 | Dinner
2019-7-9,15:54,9:00pm,9:20am,Lufthansa,7h 10m,(Nonstop),"$1,004",Liberty Intl. (EWR),Heathrow (LHR),United 16,Boeing 767 | Dinner
2019-7-9,15:54,8:30am,8:40pm,Lufthansa,7h 10m,(Nonstop),"$1,004",Liberty Intl. (EWR),Heathrow (LHR),Lufthansa 7624 operated by United,Boeing 767 | Breakfast
2019-7-9,15:54,10:00pm,10:10am,Delta,7h 10m,(Nonstop),"$1,020",Liberty Intl. (EWR),Heathrow (LHR),Lufthansa 7632 operated by United,Boeing 767-300 | Dinner
2019-7-9,15:54,11:00pm,11:10am,Delta,7h 20m,(Nonstop),"$1,020",John F. Kennedy Intl. (JFK),Heathrow (LHR),Delta 3,Airbus A330-200 | Dinner
2019-7-9,15:54,7:30pm,7:50am,Virgin Atlantic,6h 55m,(Nonstop),"$1,026",John F. Kennedy Intl. (JFK),Heathrow (LHR),Delta 1,Airbus A330-200 | Dinner
2019-7-9,15:54,8:15am,8:10pm,Virgin Atlantic,7h 15m,(Nonstop),"$1,026",John F. Kennedy Intl. (JFK),Heathrow (LHR),Virgin Atlantic 26,Airbus A340-600 | Lunch
2019-7-9,15:54,9:00pm,9:15am,Virgin Atlantic,7h 20m,(Nonstop),"$1,026",John F. Kennedy Intl. (JFK),Heathrow (LHR),Virgin Atlantic 46,Airbus A340-600 | Dinner
2019-7-9,15:54,7:00pm,7:20am,Virgin Atlantic,7h 25m,(Nonstop),"$1,026",John F. Kennedy Intl. (JFK),Heathrow (LHR),Virgin Atlantic 138,Airbus A330-300 | Dinner
2019-7-9,15:54,6:00pm,6:25am,Air France,7h 20m,(Nonstop),"$1,040",John F. Kennedy Intl. (JFK),Heathrow (LHR),Virgin Atlantic 4,Airbus A330-300 | Dinner
